arm_key,arm,architecture,acquisition,seed,n_labeled,forces_mae_mev_a,energy_mae_mev,training_time_h
mace_qbc,MACE-QBC,MACE,QBC,1,550,8.67648017121378,1.69176091103418,14.107130613260798
mace_qbc,MACE-QBC,MACE,QBC,2,550,9.876149380160726,2.1512653155450607,14.243393682705031
mace_qbc,MACE-QBC,MACE,QBC,3,550,8.605168772635183,1.692634182771144,13.73587669008308
mace_random,MACE-Random,MACE,Random,1,550,9.449580705448684,1.7917274611536413,2.999706096450488
mace_random,MACE-Random,MACE,Random,2,550,9.987245106362327,2.0379543884937448,2.8347787671618994
mace_random,MACE-Random,MACE,Random,3,550,9.558106337364032,1.768912759930572,2.9259399784935844
nequip_qbc,NequIP-QBC,NequIP,QBC,1,550,10.653683576228309,2.680190218423377,33.61554267234273
nequip_qbc,NequIP-QBC,NequIP,QBC,2,550,10.010731933172805,3.9909110089938618,34.062448755900064
nequip_qbc,NequIP-QBC,NequIP,QBC,3,550,9.533511264421879,6.5170672059830395,33.47476998349031
nequip_random,NequIP-Random,NequIP,Random,1,550,11.337199082145304,3.230122030419807,8.005390092068248
nequip_random,NequIP-Random,NequIP,Random,2,550,10.658739353881549,4.235895300860648,8.179325745635563
nequip_random,NequIP-Random,NequIP,Random,3,550,11.09370804556907,2.475106602634696,7.930191282563739
